Register Field Name,CSV Field Name,API Field Name,HESA Alignment,Code,Label,Data Source,Academic Year,Status
Awarding Institution,Awarding Institution,institution,DEGEST,0171,Heriot-Watt University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0172,The University of Dundee,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0173,The University of St. Andrews,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0174,The University of Stirling,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0175,SRUC,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0176,University of Wales Trinity Saint David,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0177,Aberystwyth University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0178,Bangor University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0179,Cardiff University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0180,Swansea University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0181,University of Wales College of Medicine,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0182,Royal Welsh College of Music and Drama,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0184,Queen's University Belfast,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0185,Ulster University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0186,The University of Wales (central functions),HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0187,Westhill College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0188,The Institute of Cancer Research,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0189,Writtle University College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0190,Norwich University of the Arts,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0191,Northern School of Contemporary Dance,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0192,Cumbria Institute of the Arts,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0193,Stranmillis University College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0194,St Mary's University College,HESA,25/26,No Change
